id,start_date,end_date,title,category,location,description,access,notes,source_url,verified_on
blitz-design-museum,2025-09-20,2026-03-29,The Blitz: the club that shaped the 80s,Exhibitions,Design Museum,The Covent Garden club and the style culture around the New Romantics.,Ticketed,,https://designmuseum.org/asset/download?id=760654f1-339e-4209-981d-3b2f1e5e02e1,2026-09-08
great-river-race,2025-09-20,2025-09-20,Great River Race,Sport & society,Thames: Millwall to Richmond,Traditional boats race upriver through central London.,Public riverside,Check river and riverside access on the day.,https://thamesfestivaltrust.org/read-watch-listen/totally-thames-festival-2025/,2026-09-08
british-art-fair,2025-09-25,2025-09-28,British Art Fair,Art & design,Saatchi Gallery,Modern and contemporary British art from established dealers.,Ticketed / preview,,https://www.britishartfair.co.uk/may-release,2026-09-08
london-restaurant-festival-autumn,2025-10-01,2025-10-31,London Restaurant Festival,Food & drink,Restaurants across London,A citywide month of special menus restaurant experiences and chef events.,Ticketed / bookings,Programme events carry individual dates and booking terms.,https://londonrestaurantfestival.com/events?_lrf_categories=festival-highlights,2026-09-08
dance-umbrella,2025-10-02,2025-10-31,Dance Umbrella,Performance,Venues across London,International contemporary dance across theatres galleries and public spaces.,Mixed,,https://danceumbrella.co.uk/2025/06/17/dance-umbrella-announces-2025-festival-programme/,2026-09-08
nfl-vikings-browns,2025-10-05,2025-10-05,NFL London: Vikings v Browns,Sport & society,Tottenham Hotspur Stadium,The first of three 2025 NFL regular-season games in London.,Ticketed,,https://www.nfl.com/news/nfl-announces-2025-international-games-to-feature-seven-games-in-five-countries,2026-09-08
gilbert-george,2025-10-07,2026-01-11,Gilbert & George: 21st Century Pictures,Exhibitions,Hayward Gallery,A large presentation of the artists' recent picture works.,Ticketed,,https://www.southbankcentre.co.uk/venues/hayward-gallery/past-exhibitions/,2026-09-08
lff,2025-10-08,2025-10-19,BFI London Film Festival,Film,Southbank and London cinemas,"Film screenings, premieres and conversations.",Ticketed,,https://www.bfi.org.uk/london-film-festival/news/full-programme-69th-bfi-london-film-festival,2026-09-07
london-cocktail-week,2025-10-09,2025-10-19,London Cocktail Week,Food & drink,Bars across London,A citywide programme of cocktail menus tastings and trade events.,Mixed,Participating venues and trade events have separate access.,https://londoncocktailweek.com/news/41428/apply-to-become-a-london-cocktail-week-bar/,2026-09-08
nfl-broncos-jets,2025-10-12,2025-10-12,NFL London: Broncos v Jets,Sport & society,Tottenham Hotspur Stadium,The second 2025 NFL regular-season game in London.,Ticketed,,https://www.nfl.com/news/nfl-announces-2025-international-games-to-feature-seven-games-in-five-countries,2026-09-08
pad-london,2025-10-14,2025-10-19,PAD London,Art & design,Berkeley Square,A fair for collectible design decorative arts and modern art.,Ticketed / preview,,https://www.padesignart.com/assets/uploads/PAD-PRESS-KIT-2025.pdf,2026-09-08
affordable-art-battersea-autumn,2025-10-15,2025-10-19,Affordable Art Fair Battersea Autumn,Art & design,Battersea Park,Contemporary galleries and artist presentations under one roof.,Ticketed / preview,,https://affordableartfair.com/fairs/london-battersea-autumn/whats-on/,2026-09-08
frieze,2025-10-15,2025-10-19,Frieze London & Frieze Masters,Art & design,The Regent’s Park,Contemporary and historical art fairs near the house.,Ticketed / preview,Preview access and general admission differ.,https://press.frieze.com/frieze-london-frieze-masters-2025-first-details?lang=eng,2026-09-07
one-54-london,2025-10-16,2025-10-19,1-54 Contemporary African Art Fair,Art & design,Somerset House,Contemporary art from Africa and its diaspora.,Ticketed / preview,VIP and public access begin at different times.,https://www.1-54.com/wp-content/uploads/2025/10/1-54-London-2025-VIP-Guide.pdf,2026-09-08
nfl-rams-jaguars,2025-10-19,2025-10-19,NFL London: Rams v Jaguars,Sport & society,Wembley Stadium,The third 2025 NFL regular-season game in London.,Ticketed,,https://www.nfl.com/news/nfl-announces-2025-international-games-to-feature-seven-games-in-five-countries,2026-09-08
london-literature-festival,2025-10-21,2025-11-02,London Literature Festival,Books,Southbank Centre,Writers poets performers and conversations across the Southbank.,Ticketed / free programme,,https://bynder.southbankcentre.co.uk/m/2e670fb8b04186f8/original/London-Literature-Festival-2025-Press-Release-final-1.pdf,2026-09-08
sufi-british-museum,2025-10-27,2026-07-26,Sufi life and art,Exhibitions,British Museum,Objects manuscripts and art exploring Sufi traditions and culture.,Ticketed,Runs beyond the calendar window.,https://www.britishmuseum.org/exhibitions/sufi-life-and-art,2026-09-08
london-korean-film-festival,2025-11-05,2025-11-18,London Korean Film Festival,Film,Cinemas across London,A cross-section of contemporary and classic Korean cinema.,Ticketed,,https://www.koreanfilm.co.uk/london-korean-film-festival-2025/,2026-09-08
wright-of-derby,2025-11-07,2026-05-10,Wright of Derby: From the Shadows,Exhibitions,National Gallery,Joseph Wright's dramatic treatment of light science and society.,Ticketed,,https://www.nationalgallery.org.uk/exhibitions/past/wright-of-derby-from-the-shadows,2026-09-08
lord-mayor,2025-11-08,2025-11-08,Lady Mayor’s Show,Festivals,City of London,The annual civic procession through the City.,Public,The 2025 edition used the title Lady Mayor's Show; central City roads close.,https://lordmayorsshow.london/,2026-09-08
remembrance-sunday,2025-11-09,2025-11-09,National Service of Remembrance,Heritage,The Cenotaph Whitehall,The national Remembrance Sunday service and veterans' march-past.,Public route / invited areas,Security and road closures affect Whitehall and nearby routes.,https://www.gov.uk/guidance/national-service-of-remembrance-sunday-9-november-2025,2026-09-08
skate-somerset-house,2025-11-12,2026-01-11,Skate at Somerset House,Seasonal,Somerset House,The courtyard ice rink with late-night and music programming.,Timed tickets,Closed on Christmas Day; session dates and hours vary.,https://www.somersethouse.org.uk/press/skate-at-somerset-house-with-virgin-atlantic-holidays,2026-09-08
winter-wonderland,2025-11-14,2026-01-01,Hyde Park Winter Wonderland,Seasonal,Hyde Park,Rides shows ice skating food and seasonal attractions.,Timed entry / ticketed attractions,Large crowds and road demand affect the Hyde Park area.,https://www.royalparks.org.uk/read-watch-listen/top-things-do-royal-parks-winter,2026-09-08
london-jazz-festival,2025-11-14,2025-11-23,EFG London Jazz Festival,Music,Venues across London,Ten days of jazz across concert halls clubs and smaller rooms.,Mixed,Individual concerts carry separate ticketing.,https://efglondonjazzfestival.org.uk/events/soul-blues-3,2026-09-08
jazz-voice,2025-11-14,2025-11-14,London Jazz Festival: Jazz Voice,Music,Royal Festival Hall,"The festival’s opening gala, with orchestra and guest vocalists.",Ticketed,,https://efglondonjazzfestival.org.uk/events/opening-gala-jazz-voice-3,2026-09-07
edwin-austin-abbey,2025-11-20,2026-02-15,Edwin Austin Abbey: By the Dawn's Early Light,Exhibitions,National Gallery,A focused display centred on Abbey's ambitious historical painting.,Free,,https://www.nationalgallery.org.uk/media/eilmt3ef/corporate-membership-proposal-2025.pdf,2026-09-08
wes-anderson-design-museum,2025-11-21,2026-07-26,Wes Anderson: The Archives,Exhibitions,Design Museum,Props costumes and production material from the filmmaker's archive.,Ticketed,Runs beyond the calendar window.,https://designmuseum.org/asset/download?id=760654f1-339e-4209-981d-3b2f1e5e02e1,2026-09-08
jazz-closing,2025-11-23,2025-11-23,London Jazz Festival: Japanese Jazz,Music,Barbican,A closing-night concert featuring Akiko Yano and a Japanese jazz quintet.,Ticketed,,https://efglondonjazzfestival.org.uk/events/japanese-jazz,2026-09-07
fashion-awards,2025-12-01,2025-12-01,The Fashion Awards,Fashion,Royal Albert Hall,The annual fashion awards evening.,Ticketed / invited,,https://www.britishfashioncouncil.co.uk/bfcnews/4677/BRITISH-FASHION-COUNCIL-AND-PANDORA-UNVEIL-NEW-AWARD-DIRECTION-AS-PART-OF-PRINCIPAL-PARTNERSHIP-FOR-THE-FASHION-AWARDS-2025-,2026-09-07
horse-show,2025-12-18,2025-12-22,London International Horse Show,Sport & society,ExCeL London,International equestrian sport and seasonal displays.,Ticketed,,https://londonhorseshow.com/news/london-international-horse-show-2025-broadcast-and-streaming-schedule-announced/,2026-09-07
peter-pan-cup,2025-12-25,2025-12-25,Peter Pan Cup,Sport & society,Serpentine Hyde Park,The Serpentine Swimming Club's Christmas morning handicap race.,Public spectating / members race,The race is restricted to qualified club swimmers and starts at 9am.,https://serpentineswimmingclub.com/christmas-day-race-and-peter-pan-cup,2026-09-08
london-nye-fireworks,2025-12-31,2026-01-01,London New Year's Eve Fireworks,Seasonal,Victoria Embankment and South Bank,The Mayor of London's ticketed midnight fireworks display.,Ticketed,Central London access is controlled and transport arrangements change.,https://www.london.gov.uk/events/london-new-years-eve-2025,2026-09-08
london-new-year-parade,2026-01-01,2026-01-01,London's New Year's Day Parade,Festivals,West End route,A large parade of performers bands and international groups.,Public / grandstand tickets,Central road closures apply along the route.,https://londonparade.com/wp-content/uploads/2025/11/2220-Business-and-Residents-letter01.pdf,2026-09-08
hawaii-british-museum,2026-01-15,2026-05-25,Hawaiʻi: a kingdom crossing oceans,Exhibitions,British Museum,Art and objects from the Hawaiian Kingdom and its global connections.,Ticketed,,https://www.britishmuseum.org/blog/whats-on-british-museum-2025-26,2026-09-08
ming-wong,2026-01-15,2026-04-05,Ming Wong: Theatre of the Sun,Exhibitions,National Gallery,A contemporary commission responding to painting cinema and performance.,Free,,https://www.nationalgallery.org.uk/media/eilmt3ef/corporate-membership-proposal-2025.pdf,2026-09-08
art-fair,2026-01-21,2026-01-25,London Art Fair,Art & design,"Business Design Centre, Islington",Modern and contemporary art galleries at the January fair.,Ticketed / preview,Press preview is 20 January; these are the main fair dates.,https://www.londonartfair.co.uk/wp-content/uploads/2025/10/London-Art-Fair-2026_-Main-Fair-Announcement.docx.pdf,2026-09-07
london-short-film-festival,2026-01-23,2026-02-01,London Short Film Festival,Film,Cinemas and venues across London,New short films artist moving image and industry events.,Ticketed / mixed,,https://www.shortfilms.org.uk/lsff-2026-official-competition-announced,2026-09-08
kew-orchids,2026-02-07,2026-03-08,Kew Orchid Festival,Gardens,Princess of Wales Conservatory at Kew,Tropical orchids and installations inside the conservatory.,Garden admission / timed slots,Standard garden entry and any timed-entry conditions apply.,https://www.kew.org/about-us/press-media/orchid-festival-2026,2026-09-08
imagine-festival,2026-02-11,2026-02-21,Imagine Children's Festival,Performance,Southbank Centre,Theatre literature music and participatory events for children and families.,Mixed,Individual events have their own age guidance and booking.,https://bynder.southbankcentre.co.uk/m/65efe29301660b7e/original/Imagine-Festival-2026_-Easy-Read-Brochure.pdf,2026-09-08
chiharu-shiota,2026-02-17,2026-05-03,Chiharu Shiota: Threads of Life,Exhibitions,Hayward Gallery,Large-scale installations exploring memory connection and absence.,Ticketed,,https://www.southbankcentre.co.uk/venues/hayward-gallery/past-exhibitions/,2026-09-08
yin-xiuzhen,2026-02-17,2026-05-13,Yin Xiuzhen: Heart to Heart,Exhibitions,HENI Project Space at Hayward Gallery,A free presentation by the Beijing-based installation artist.,Free,,https://www.southbankcentre.co.uk/venues/hayward-gallery/past-exhibitions/,2026-09-08
lfw-february,2026-02-19,2026-02-23,London Fashion Week,Fashion,Venues across London,The February collections and associated city events.,Industry / mixed,,https://www.britishfashioncouncil.co.uk/bfcnews/4697/THE-BRITISH-FASHION-COUNCIL-ANNOUNCES-PROVISIONAL-SCHEDULE-FOR-LONDON-FASHION-WEEK-FEBRUARY-2026-,2026-09-07
lunar-new-year,2026-02-21,2026-02-22,Lunar New Year Festival,Festivals,"Chinatown, Trafalgar Square and the West End",Parade performances food and celebrations for the Year of the Horse.,Public,The main public programme runs across the weekend.,https://www.london.gov.uk/events/lunar-new-year-festival-spring-2026,2026-09-08
bafta,2026-02-22,2026-02-22,EE BAFTA Film Awards,Film,Royal Festival Hall,The annual film awards ceremony.,Invited / broadcast,,https://www.bafta.org/media-centre/press-releases/alan-cumming-to-host-the-2026-ee-bafta-film-awards/,2026-09-07
affordable-art-battersea-spring,2026-03-04,2026-03-08,Affordable Art Fair Battersea Spring,Art & design,Battersea Park,Contemporary art from UK and international galleries.,Ticketed / preview,,https://affordableartfair.com/wp-content/uploads/AAF_2026_BATTSP_06_Fair-Guide_DIGITAL_V3.pdf,2026-09-08
london-design-week,2026-03-09,2026-03-13,London Design Week,Art & design,Design Centre Chelsea Harbour,Interior design launches talks showrooms and trade programming.,Trade / mixed,Some sessions are trade-facing and others open to design visitors.,https://www.dcch.co.uk/london-design-week/programme/,2026-09-08
book-fair,2026-03-10,2026-03-12,The London Book Fair,Books,Olympia London,"Publishing, rights and industry meetings.",Trade registration,,https://www.londonbookfair.co.uk/content/dam/sitebuilder/rxuk/operations/show-documents/lbf-ops-docs/lbf-2026/your-stand/LBF26_Tech_Pods_Specification.pdf.coredownload.684610394.pdf,2026-09-07
stubbs-national-gallery,2026-03-12,2026-05-31,George Stubbs: A Celebration,Exhibitions,National Gallery,A focused exhibition marking three centuries since Stubbs's birth.,Free,,https://www.nationalgallery.org.uk/about-us/press-and-media/press-releases-archive/the-national-gallery-exhibitions-2026,2026-09-08
st-patricks,2026-03-15,2026-03-15,St Patrick's Festival,Festivals,Trafalgar Square and central London,Parade music dance food and culture in central London.,Public,Central route closures apply.,https://www.london.gov.uk/events/st-patricks-festival-2026,2026-09-08
flare,2026-03-18,2026-03-29,BFI Flare,Film,BFI Southbank,London’s LGBTQIA+ film festival.,Ticketed,,https://whatson.bfi.org.uk/flare/online/default.asp,2026-09-07
michaelina-wautier,2026-03-27,2026-06-21,Michaelina Wautier: Painter,Exhibitions,Royal Academy of Arts,A major exhibition devoted to the seventeenth-century Flemish painter.,Ticketed,,https://cdn.royalacademy.org.uk/files/mn3fryb61g7e6lujrd/Michaelina%20Wautier%20exhibition%20%28digital%29%20V2.pdf,2026-09-08
boat-race,2026-04-04,2026-04-04,The Boat Race,Sport & society,Thames: Putney to Mortlake,Oxford and Cambridge race on the Tideway.,Public / hospitality,River and road restrictions affect journeys in west London.,https://www.theboatrace.org/the-boat-race-2026,2026-09-07
olivier-awards,2026-04-12,2026-04-12,Olivier Awards,Awards,Royal Albert Hall,London theatre's annual awards ceremony.,Invited / broadcast,Public ticket releases are limited.,https://officiallondontheatre.com/olivier-awards/?direct=true,2026-09-08
london-games-festival,2026-04-13,2026-04-19,London Games Festival,Technology & culture,Venues across London,Games showcases exhibitions industry meetings and public events.,Mixed,,https://festival.games.london/about,2026-09-08
multitudes,2026-04-16,2026-04-30,Multitudes,Music,Southbank Centre,A contemporary orchestral festival crossing classical and other musical traditions.,Ticketed / free programme,,https://www.southbankcentre.co.uk/events/multitudes/,2026-09-08
queen-elizabeth-memorial,2026-04-22,2026-06-21,The Queen Elizabeth II Memorial Exhibition,Exhibitions,British Museum,Design proposals and the process behind the national memorial.,Free,,https://www.britishmuseum.org/exhibitions/queen-elizabeth-ii-memorial,2026-09-08
marathon,2026-04-26,2026-04-26,TCS London Marathon,Sport & society,London: Greenwich to The Mall,"Race day across the capital, with spectators along the route.",Public spectating,Check road closures before arranging cars or deliveries.,https://www.londonmarathonevents.co.uk/london-marathon/road-closures,2026-09-07
bafta-tv-craft,2026-04-26,2026-04-26,BAFTA Television Craft Awards,Awards,London venue to be confirmed,The annual awards for television craft and production disciplines.,Invited / industry,The organiser announcement fixed the date before confirming all venue details.,https://www.bafta.org/media-centre/press-releases/tv-and-craft-awards-2026-entries-open/,2026-09-08
zurbaran-national-gallery,2026-05-02,2026-07-31,Zurbarán,Exhibitions,National Gallery,A major exhibition of the Spanish Golden Age painter.,Ticketed,The exhibition continues to 23 August beyond this calendar window.,https://www.nationalgallery.org.uk/about-us/press-and-media/press-releases-archive/the-national-gallery-exhibitions-2026,2026-09-08
affordable-art-hampstead,2026-05-06,2026-05-10,Affordable Art Fair Hampstead,Art & design,Hampstead Heath,Contemporary art from more than one hundred galleries in a temporary pavilion.,Ticketed / preview,Private view is 6 May; general admission begins 7 May.,https://affordableartfair.com/fairs/london-hampstead/,2026-09-08
bafta-tv,2026-05-10,2026-05-10,BAFTA Television Awards,Awards,Royal Festival Hall,The annual British television awards ceremony.,Invited / broadcast,,https://www.bafta.org/media-centre/press-releases/greg-davies-host-2026-tv/,2026-09-08
london-craft-week,2026-05-11,2026-05-17,London Craft Week,Art & design,Studios galleries and venues across London,Makers workshops exhibitions and demonstrations across the city.,Mixed,,https://londoncraftweek.com/about/,2026-09-08
photo-london,2026-05-13,2026-05-17,Photo London,Art & design,Somerset House,International photography galleries publishers talks and artist projects.,Ticketed / preview,Preview day is 13 May; public days begin 14 May.,https://photolondon.org/visiting/,2026-09-08
london-coffee-festival,2026-05-14,2026-05-17,London Coffee Festival,Food & drink,The Truman Brewery,Coffee roasters equipment tastings competitions and music.,Ticketed / trade,Industry and public sessions have separate access.,https://www.londoncoffeefestival.com/?page=2,2026-09-08
chelsea-in-bloom,2026-05-18,2026-05-24,Chelsea in Bloom,Gardens,Streets around Chelsea,Large floral installations across shops hotels and public spaces.,Free,Runs alongside Chelsea Flower Show but has a separate public programme.,https://www.chelseainbloom.co.uk/,2026-09-08
belgravia-in-bloom,2026-05-18,2026-05-24,Belgravia in Bloom,Gardens,Streets around Belgravia,Floral installations and neighbourhood events across Belgravia.,Free,Individual workshops and offers may require booking.,https://www.belgraviavillage.com/belgravia-in-bloom,2026-09-08
queens-cup-tournament,2026-05-19,2026-06-14,Cartier Queen's Cup,Sport & society,"Guards Polo Club, Windsor Great Park",The full high-goal tournament leading to the Queen's Cup Final.,Ticketed / members,Match days and access vary; the final has its own calendar entry.,https://www.guardspoloclub.com/tournaments,2026-09-08
ivors-summit,2026-05-19,2026-05-19,The Ivors Academy Summit,Music,London venue,Songwriting and composing conference sessions from the Ivors Academy.,Industry / ticketed,,https://ivorsacademy.com/event/the-ivors-academy-summit-2026/,2026-09-08
chelsea,2026-05-19,2026-05-23,RHS Chelsea Flower Show,Gardens,Royal Hospital Chelsea,"Show gardens, planting and horticultural design.",Ticketed / members,Admission rules vary by day.,https://www.rhs.org.uk/shows-events/news/rhs-shows-2026-2027,2026-09-07
the-ivors,2026-05-21,2026-05-21,The Ivors,Awards,Grosvenor House,Peer-recognised awards for songwriting and composing.,Invited / industry,,https://ivorsacademy.com/the-ivors-2026-guest-information/,2026-09-08
glyndebourne-festival,2026-05-21,2026-07-31,Glyndebourne Festival,Opera & classical,Glyndebourne East Sussex,The summer opera festival and its picnic interval tradition.,Ticketed,The season continues to 30 August beyond this calendar window.,https://www.glyndebourne.com/festival/festival-2026-announcement/?direct=true,2026-09-08
london-festival-architecture,2026-06-01,2026-06-30,London Festival of Architecture,Architecture,Locations across London,A month of installations walks talks open studios and debate.,Mixed,,https://www.londonfestivalofarchitecture.org/2026-festival/,2026-09-08
royal-windsor-cup,2026-06-02,2026-06-21,Royal Windsor Cup,Sport & society,"Guards Polo Club, Windsor Great Park",The club's leading medium-goal polo tournament.,Ticketed / members,Match days and access vary across the tournament.,https://www.guardspoloclub.com/tournaments,2026-09-08
lords-england-new-zealand,2026-06-04,2026-06-08,England v New Zealand Men's Test,Sport & society,Lord's Cricket Ground,Five days of men's Test cricket at Lord's.,Ticketed / members,Play and finish times are weather dependent.,https://www.lords.org/lords/news-stories/international-fixtures-at-lord%E2%80%99s-in-2026-announced,2026-09-08
london-gallery-weekend,2026-06-05,2026-06-07,London Gallery Weekend,Art & design,Galleries across central London,Three days of exhibitions extended openings and gallery-led events.,Free / bookings,Some talks tours and private events require booking.,https://londongalleryweekend.art/home/,2026-09-08
derby-festival,2026-06-05,2026-06-06,The Derby Festival,Sport & society,Epsom Downs Racecourse,Two days of racing culminating in the Derby.,Ticketed / hospitality,,https://www.thejockeyclub.co.uk/about-us/media-centre/press-releases/2025/12/the-jockey-club-announces-changes-to-the-betfred-derby-festival-for-2026/,2026-09-08
polo-in-the-park,2026-06-05,2026-06-07,Polo in the Park,Sport & society,Hurlingham Park,Three days of arena polo food and social events in Fulham.,Ticketed / hospitality,,https://www.polointheparklondon.com/2026-dates/index.html?tx_inline_iframe=%2Fdate-selection&tx_sessionDataId=f6575677-e245-460a-b3f7-cf7d22ddca49,2026-09-08
london-open-gardens,2026-06-06,2026-06-07,London Open Gardens,Gardens,Private and community gardens across London,A weekend of access to gardens usually closed to the public.,Ticketed,One ticket covers participating gardens; opening times vary.,https://londongardenstrust.org/whatson/london-open-gardens/,2026-09-08
queens-club,2026-06-06,2026-06-21,HSBC Championships at Queen's Club,Sport & society,The Queen's Club,Women's and men's grass-court tennis before Wimbledon.,Ticketed / hospitality,The combined event spans separate women's and men's draws.,https://www.lta.org.uk/fan-zone/international/hsbc-championships/,2026-09-08
serpentine-pavilion,2026-06-06,2026-07-31,Serpentine Pavilion 2026,Architecture,Serpentine South Kensington Gardens,The annual temporary pavilion designed by Isabel Abascal and Alessandro Arienzo Lanza.,Free,Continues to 25 October beyond the calendar window.,https://www.serpentinegalleries.org/whats-on/serpentine-pavilion-2026-by-isabel-abascal-and-alessandro-arienzo-lanza-atelier/,2026-09-08
london-concours,2026-06-09,2026-06-11,London Concours,Motoring,Honourable Artillery Company,A central London display of rare and significant cars.,Ticketed / hospitality,,https://londonconcours.co.uk/wp-content/uploads/LC26-Concours-Car-Owner-Information.pdf,2026-09-08
meltdown,2026-06-11,2026-06-21,Meltdown curated by Harry Styles,Music,Southbank Centre,The annual artist-curated music festival across the Southbank.,Ticketed / free programme,,https://bynder.southbankcentre.co.uk/m/f5d220c84f6d5184/original/Harry-Styles-Meltdown-press-release-2026.pdf,2026-09-08
trooping,2026-06-13,2026-06-13,Trooping the Colour,Sport & society,Horse Guards Parade and The Mall,The sovereign’s official birthday parade.,Public route / ticketed stands,,https://www.royalnavy.mod.uk/news/2026/june/13/20260613-trooping-the-colour,2026-09-07
queens-cup,2026-06-14,2026-06-14,Cartier Queen’s Cup Final,Sport & society,"Guards Polo Club, Windsor Great Park",The Queen’s Cup polo final at Smith’s Lawn.,Ticketed / members,,https://portal.guardspoloclub.com/book-tickets/event-tickets/queens-cup-final-2026/download-itinerary,2026-09-07
summer-exhibition-ra,2026-06-16,2026-07-31,Royal Academy Summer Exhibition,Exhibitions,Royal Academy of Arts,The annual open-submission exhibition across the Main Galleries.,Ticketed,Continues to 23 August beyond the calendar window.,https://cdn.royalacademy.org.uk/files/00tacppuc0b7a8ca/SE26%20Schedule.pdf,2026-09-08
anish-kapoor,2026-06-16,2026-07-31,Anish Kapoor,Exhibitions,Hayward Gallery,Large-scale sculpture painting and immersive new installations.,Ticketed,Continues to 18 October beyond the calendar window.,https://www.southbankcentre.co.uk/whats-on/anish-kapoor/,2026-09-08
ascot,2026-06-16,2026-06-20,Royal Ascot,Sport & society,"Ascot, Berkshire",Five days of racing and the summer social season.,Ticketed / members,Enclosure access and dress requirements differ.,https://www.ascot.com/royal-ascot,2026-09-07
taste-of-london,2026-06-17,2026-06-21,Taste of London,Food & drink,The Regent's Park,Restaurant dishes chef demonstrations drinks and producer stands.,Ticketed,Individual sessions are separately ticketed.,https://london.tastefestivals.com/,2026-09-08
west-end-live,2026-06-20,2026-06-21,West End LIVE,Performance,Trafalgar Square,Free performances from West End musicals and theatre productions.,Free,Entry is first come first served and capacity controlled.,https://www.westendlive.co.uk/,2026-09-08
