date,condition,summary,high_c,low_c,rain_mm,wind_mph,wind_direction,morning,afternoon,evening,house_note
2025-09-18,showers,Passing showers,19,12,3.6,4,W,Broken cloud and a possible passing shower.,Scattered showers with dry intervals.,Showers easing; some damp paving remains.,Keep an indoor alternative for terrace plans; showers come and go.
2025-09-19,showers,Passing showers,19,8,1.6,11,W,Broken cloud and a possible passing shower.,Scattered showers with dry intervals.,Showers easing; some damp paving remains.,Keep an indoor alternative for terrace plans; showers come and go.
2025-09-20,cloudy,Mostly cloudy,18,7,0,12,NE,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-09-21,cloudy,Mostly cloudy,17,6,0,8,SW,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-09-22,cloudy,Mostly cloudy,18,9,0,12,E,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-09-23,cloudy,Mostly cloudy,18,9,0,6,E,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-09-24,cloudy,Mostly cloudy,18,7,0,6,NE,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-09-25,partly-cloudy,Sunny intervals,17,9,0,6,W,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-09-26,partly-cloudy,Sunny intervals,18,7,0,7,SW,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-09-27,partly-cloudy,Sunny intervals,18,9,0,10,SW,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-09-28,partly-cloudy,Sunny intervals,17,9,0,11,W,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-09-29,partly-cloudy,Sunny intervals,18,9,0,12,E,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-09-30,partly-cloudy,Sunny intervals,18,10,0,9,W,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-01,rain,Rain at times,15,4,9.7,15,W,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-10-02,rain,Rain at times,18,10,10.1,11,W,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-10-03,rain,Rain at times,16,6,4.8,13,SW,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-10-04,rain,Rain at times,16,5,11.7,9,S,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-10-05,rain,Rain at times,15,7,9.8,13,W,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-10-06,partly-cloudy,Sunny intervals,17,9,0,6,W,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-07,partly-cloudy,Sunny intervals,17,10,0,10,E,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-08,partly-cloudy,Sunny intervals,18,9,0,7,W,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-09,partly-cloudy,Sunny intervals,19,11,0,9,SW,Broken cloud with brighter intervals.,Sunshine between passing clouds.,Dry with patchy cloud into the evening.,Dry intervals for the garden; bring a layer for the evening.
2025-10-10,cloudy,Mostly cloudy,15,6,0,7,NE,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-11,cloudy,Mostly cloudy,16,6,0,7,E,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-12,cloudy,Mostly cloudy,17,10,0,5,W,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-13,cloudy,Mostly cloudy,14,4,0,5,E,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-14,cloudy,Mostly cloudy,14,7,0,4,NE,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-15,rain,Rain at times,13,4,12.3,10,W,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-10-16,rain,Rain at times,13,6,4.4,12,SW,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-10-17,rain,Rain at times,14,6,5.1,16,SW,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-10-18,rain,Rain at times,14,4,7.8,10,SW,Cloudy with rain moving through.,Periods of rain and a damp breeze.,Light rain or drizzle lingering into the evening.,Have umbrellas by the door; indoor tables suit the wetter periods.
2025-10-19,sunny,Sunny,16,8,0,7,W,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-20,sunny,Sunny,14,5,0,5,W,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-21,sunny,Sunny,17,6,0,7,SW,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-22,sunny,Sunny,16,7,0,8,E,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-23,sunny,Sunny,16,8,0,12,W,A bright start with clear spells.,Dry with long spells of sunshine.,Clear spells after sunset; cooler outdoors.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-24,showers,Passing showers,15,4,2.5,5,S,Broken cloud and a possible passing shower.,Scattered showers with dry intervals.,Showers easing; some damp paving remains.,Keep an indoor alternative for terrace plans; showers come and go.
2025-10-25,showers,Passing showers,14,7,2.9,12,SW,Broken cloud and a possible passing shower.,Scattered showers with dry intervals.,Showers easing; some damp paving remains.,Keep an indoor alternative for terrace plans; showers come and go.
2025-10-26,showers,Passing showers,13,4,2.4,6,W,Broken cloud and a possible passing shower.,Scattered showers with dry intervals.,Showers easing; some damp paving remains.,Keep an indoor alternative for terrace plans; showers come and go.
2025-10-27,showers,Passing showers,13,5,1.3,4,S,Broken cloud and a possible passing shower.,Scattered showers with dry intervals.,Showers easing; some damp paving remains.,Keep an indoor alternative for terrace plans; showers come and go.
2025-10-28,cloudy,Mostly cloudy,12,1,0,11,W,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-29,cloudy,Mostly cloudy,14,4,0,7,SW,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-30,cloudy,Mostly cloudy,12,1,0,10,E,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
2025-10-31,cloudy,Mostly cloudy,15,8,0,4,SW,A dry start beneath a cloudier sky.,Mostly cloudy with occasional brighter breaks.,Cloud lingering; dry into the evening.,A layer for the garden; blankets or heaters suit longer terrace stays.
